Date,Time,HomeTeam,AwayTeam,PredictedResult,PredictedWinner,HomeWinProb,DrawProb,AwayWinProb,Confidence,ModelDecisionThreshold
2026-04-24,20:00,Sunderland,Nottingham Forest,H,Sunderland,0.4721,0.1747,0.3532,0.4721,0.55
2026-04-25,12:30,Fulham,Aston Villa,A,Aston Villa,0.3627,0.1714,0.4659,0.4659,0.55
2026-04-25,15:00,Bournemouth,Leeds United,A,Leeds United,0.4257,0.1445,0.4298,0.4298,0.55
2026-04-25,15:00,Liverpool,Crystal Palace,H,Liverpool,0.6291,0.1775,0.1934,0.6291,0.55
2026-04-25,15:00,West Ham United,Everton,A,Everton,0.3343,0.1539,0.5118,0.5118,0.55
2026-04-25,15:00,Wolverhampton Wanderers,Tottenham Hotspur,H,Wolverhampton Wanderers,0.4349,0.136,0.4291,0.4349,0.55
2026-04-25,17:30,Arsenal,Newcastle United,H,Arsenal,0.5763,0.1509,0.2728,0.5763,0.55
2026-04-26,14:00,Burnley,Manchester City,A,Manchester City,0.1316,0.1656,0.7028,0.7028,0.55
2026-04-26,16:30,Brighton and Hove Albion,Chelsea,A,Chelsea,0.281,0.1662,0.5528,0.5528,0.55
2026-04-27,20:00,Manchester United,Brentford,H,Manchester United,0.4369,0.1447,0.4184,0.4369,0.55
2026-05-02,15:00,Arsenal,Fulham,H,Arsenal,0.6509,0.1675,0.1817,0.6509,0.55
2026-05-02,15:00,Aston Villa,Tottenham Hotspur,H,Aston Villa,0.4823,0.1391,0.3787,0.4823,0.55
2026-05-02,15:00,Bournemouth,Crystal Palace,A,Crystal Palace,0.3515,0.1617,0.4867,0.4867,0.55
2026-05-02,15:00,Brentford,West Ham United,H,Brentford,0.5541,0.1557,0.2901,0.5541,0.55
2026-05-02,15:00,Chelsea,Nottingham Forest,H,Chelsea,0.6118,0.1738,0.2144,0.6118,0.55
2026-05-02,15:00,Everton,Manchester City,A,Manchester City,0.2725,0.1563,0.5712,0.5712,0.55
2026-05-02,15:00,Leeds United,Burnley,H,Leeds United,0.5331,0.1536,0.3133,0.5331,0.55
2026-05-02,15:00,Manchester United,Liverpool,A,Liverpool,0.3041,0.1506,0.5453,0.5453,0.55
2026-05-02,15:00,Newcastle United,Brighton and Hove Albion,H,Newcastle United,0.5044,0.1593,0.3364,0.5044,0.55
